country,year,milex_constant_usd_m,milex_share_gdp
Sweden,2023,8754.872951012165,1.50126036606591
Sweden,2024,11718.548095512184,1.9977173881016819
Switzerland,2018,5407.350292064421,0.6528765697939883
Switzerland,2019,5805.930882317007,0.6963243247604625
Switzerland,2020,6305.306041862883,0.7725589732276742
Switzerland,2021,5839.829547838798,0.67289247365512
Switzerland,2022,6111.754152516598,0.6820613026440328
Switzerland,2023,6289.176348464885,0.7056590215964239
Switzerland,2024,6483.709492308506,0.7178120776711443
Tajikistan,2018,97.86529645504483,1.0485652767418623
Tajikistan,2019,96.10243265508495,0.9969662495259765
Tajikistan,2020,89.73412053044929,0.9479739869934967
Tajikistan,2021,105.84179722581696,1.0026118959990502
Tajikistan,2022,215.6179270649526,1.9308962406794596
Tajikistan,2023,285.06344990408735,2.3964212615518203
Tajikistan,2024,234.44863772222084,1.8477497583936482
Turkmenistan,2018,,
Turkmenistan,2019,,
Turkmenistan,2020,,
Turkmenistan,2021,,
Turkmenistan,2022,,
Turkmenistan,2023,,
Turkmenistan,2024,,
Ukraine,2018,5782.799949379168,3.635166079928051
Ukraine,2019,6700.552181793033,4.067937650375968
Ukraine,2020,7436.04812371248,4.400314702767075
Ukraine,2021,6882.835827212257,3.425491995628571
Ukraine,2022,41205.16499110891,25.642410471541567
Ukraine,2023,64908.02532704769,36.52817250772237
Ukraine,2024,66784.43488734844,34.481529770189226
United Kingdom,2018,63059.99739857118,1.9445556947345728
United Kingdom,2019,65679.54544717727,1.9852537309958591
United Kingdom,2020,66722.81795701603,2.1630403054738663
United Kingdom,2021,67749.78404328419,2.0724174824975936
United Kingdom,2022,68878.27865246803,2.0569185546253443
United Kingdom,2023,75303.38748001808,2.2306397390432235
United Kingdom,2024,77389.95642650948,2.278617790112704
Uzbekistan,2018,1749.9779323380778,2.8666198103552447
Uzbekistan,2019,,
Uzbekistan,2020,,
Uzbekistan,2021,,
Uzbekistan,2022,,
Uzbekistan,2023,,
Uzbekistan,2024,,
