country,year,milex_constant_usd_m,milex_share_gdp,sipri_available,country_code,wb_milex_pct_gdp,worldbank_available,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians,acled_available,gdp_pct,nato_2pct_threshold,conflict_zone
Czechia,2020,,,0,,,0,227.0,0.0,962078.0,1.0,0.0,217.0,5.0,3.0,1.0,1,,0,Other
Czechia,2021,,,0,,,0,260.0,1.0,1049318.0,0.0,0.0,253.0,4.0,1.0,2.0,1,,0,Other
Czechia,2022,,,0,,,0,423.0,0.0,1038268.0,1.0,0.0,301.0,3.0,118.0,0.0,1,,0,Other
Czechia,2023,,,0,,,0,247.0,0.0,1066324.0,0.0,0.0,226.0,10.0,5.0,6.0,1,,0,Other
Czechia,2024,,,0,,,0,236.0,0.0,888702.0,0.0,0.0,224.0,2.0,9.0,1.0,1,,0,Other
Denmark,2018,4786.174852837924,1.283104892940236,1,DNK,1.28310489294024,1,,,,,,,,,,0,1.283104892940236,0,Other
Denmark,2019,4938.604565812725,1.29920660644454,1,DNK,1.29920660644454,1,1.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.29920660644454,0,Other
Denmark,2020,5251.975582941766,1.373768853149729,1,DNK,1.37376885314973,1,603.0,1.0,2870616.0,4.0,0.0,560.0,27.0,8.0,4.0,1,1.373768853149729,0,Other
Denmark,2021,5349.85918143033,1.2915576356574472,1,DNK,1.29155763565745,1,850.0,0.0,2771338.0,0.0,0.0,828.0,5.0,15.0,2.0,1,1.2915576356574472,0,Other
Denmark,2022,5801.168946302029,1.3615645742108469,1,DNK,1.36156457421085,1,388.0,0.0,1698340.0,0.0,0.0,375.0,3.0,10.0,0.0,1,1.3615645742108469,0,Other
Denmark,2023,8132.606555213821,1.9996133291757274,1,DNK,1.99961332917573,1,516.0,0.0,1859853.0,0.0,0.0,511.0,1.0,4.0,0.0,1,1.9996133291757274,0,Other
Denmark,2024,9781.648831013114,2.4161745416059133,1,DNK,2.41617454160591,1,377.0,0.0,1733877.0,0.0,2.0,364.0,2.0,8.0,1.0,1,2.4161745416059133,1,Other
Estonia,2018,781.749357841431,1.9706131174318768,1,EST,1.97061311743188,1,,,,,,,,,,0,1.9706131174318768,0,Other
Estonia,2019,834.7626217676548,1.9984501867074407,1,EST,1.99845018670744,1,1.0,0.0,5484.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.9984501867074407,0,Other
Estonia,2020,928.3808108531111,2.2613642833291894,1,EST,2.26136428332919,1,142.0,0.0,366924.0,0.0,0.0,142.0,0.0,0.0,0.0,1,2.2613642833291894,1,Other
Estonia,2021,891.3267519063415,2.012319333891522,1,EST,2.01231933389152,1,114.0,1.0,348526.0,0.0,0.0,111.0,1.0,1.0,1.0,1,2.012319333891522,1,Other
Estonia,2022,917.5184756344576,2.134852109638237,1,EST,2.13485210963824,1,76.0,0.0,258628.0,0.0,0.0,74.0,0.0,2.0,0.0,1,2.134852109638237,1,Other
Estonia,2023,1235.9497149969102,2.9957229752250267,1,EST,2.99572297522503,1,28.0,0.0,130981.0,0.0,0.0,26.0,0.0,2.0,0.0,1,2.9957229752250267,1,Other
