country,year,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians
Isle of Man,2022,1,0,3451.0,0,0,1,0,0,0
Isle of Man,2024,1,0,3348.0,0,0,1,0,0,0
Italy,2019,25,0,195205.0,0,0,19,3,3,0
Italy,2020,5934,0,34482762.0,0,10,5540,219,148,17
Italy,2021,7688,1,40979935.0,0,0,7381,161,136,10
Italy,2022,4898,1,29199055.0,0,0,4661,98,130,9
Italy,2023,3324,0,23021753.0,0,2,3137,87,93,5
Italy,2024,3212,0,23792949.0,0,2,3000,129,78,3
Kazakhstan,2018,185,3,1172067.0,3,1,162,3,7,9
Kazakhstan,2019,561,7,3364892.0,2,0,506,11,16,26
Kazakhstan,2020,860,21,4037043.0,0,0,801,31,8,20
Kazakhstan,2021,1043,3,5287288.0,1,0,983,13,1,45
Kazakhstan,2022,1082,231,5930455.0,1,0,914,14,17,136
Kazakhstan,2023,656,4,4411010.0,0,0,581,7,7,61
Kazakhstan,2024,738,6,4266105.0,0,0,665,8,6,59
Kosovo,2018,156,4,1222386.0,1,4,107,6,24,14
Kosovo,2019,136,0,1101931.0,1,2,108,6,6,13
Kosovo,2020,104,0,804728.0,0,0,93,3,4,4
Kosovo,2021,159,0,930377.0,1,0,121,26,7,4
Kosovo,2022,166,0,795532.0,2,0,134,6,5,19
Kosovo,2023,215,5,1167891.0,2,5,157,14,23,14
Kosovo,2024,163,0,909451.0,0,12,83,2,50,16
Kyrgyzstan,2018,193,4,1675246.0,2,1,146,15,5,24
Kyrgyzstan,2019,286,8,2197436.0,6,0,213,28,17,22
Kyrgyzstan,2020,342,2,2605626.0,3,0,268,46,5,20
Kyrgyzstan,2021,534,32,3069761.0,9,0,446,33,7,39
Kyrgyzstan,2022,404,68,2615261.0,20,4,324,10,16,30
Kyrgyzstan,2023,213,2,3051468.0,2,0,164,13,1,33
Kyrgyzstan,2024,185,1,2094001.0,1,0,145,10,4,25
Latvia,2020,70,0,128949.0,0,0,68,1,0,1
